year,人均收入：年初至今：城镇居民：36座城市平均,人均可支配收入：年初至今：城镇居民：36座城市平均,人均支出：年初至今：城镇居民：36座城市平均,人均生活开支：年初至今：城镇居民：36座城市平均,人均现金收入：年初至今：农村居民家庭（RH）,人均现金支出：年初至今：农村居民家庭（RH）
区域,中国,中国,中国,中国,中国,中国
次国家,,,,,,
频率,季，季末3月、6月、9月、12月,季，季末3月、6月、9月、12月,季，季末3月、6月、9月、12月,季，季末3月、6月、9月、12月,季，季末3月、6月、9月、12月,季，季末3月、6月、9月、12月
单位,人民币,人民币,人民币,人民币,人民币,人民币
数据来源,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局,国家统计局
状态,继续,继续,继续,继续,继续,继续
数列ID,137323101 (CHAIFF),137326801 (CHAIGQ),137330501 (CHAIIB),137334201 (CHAIJM),4939001 (CGEAHA),4939901 (CGEAHB)
SR码,SR2269728,SR2271562,SR2269710,SR2269701,SR658880,SR356020
Trade Code,,,,,,
助记符,,,,,,
函数说明,,,,,,
首次观测日期,03/2007,03/2007,03/2007,03/2007,12/1995,12/1995
最后观测日期,03/2012,03/2012,03/2012,03/2012,09/2014,12/2013
最后更新时间,27/02/2014,27/02/2014,11/06/2019,27/02/2014,28/01/2015,28/01/2015
数列备注,,,,,,
您可以,,,,,,
平均,15144.141904761907,13679.872857142855,13143.262380952381,9621.07238095238,3184.8854979473426,2806.030211410819
方差,52774874.955196194,42142129.34509143,41354725.92081904,22908223.605239056,5678132.855752942,4289531.490819334
标准差,7264.631783868759,6491.6969541939825,6430.76402310169,4786.253608537585,2382.8833072043085,2071.1184154507764
偏度,0.4560785860475743,0.44323453769939414,0.3682472835810132,0.40049832098562277,1.39674583751048,1.455315745657029
峰度,-0.6995565831109198,-0.7189248866934261,-0.9635400306695105,-0.8802658225812063,1.6094952278157368,1.8837314629161694
变异系数,0.47969913578163687,0.47454366147887017,0.4892821764268626,0.49747610443232093,0.7481849217939156,0.7380955511556867
最小,5388.48,4922.66,4663.89,3282.43,587.4,508.3
最大,30421.75,27318.64,25537.87,19283.18,10982.7,9453.6
中位数,14183.01,12881.05,12631.61,9367.39,2488.95,2140.37
参照期间,21,21,21,21,64,61
12/1995,,,,,1595.56,1545.81
12/1996,,,,,1927.1,1887.49
12/1997,,,,,2131.21,1959.75
03/1998,,,,,663.11,616.11
12/1998,,,,,2163.61,1930.98
03/1999,,,,,587.4,508.3
12/1999,,,,,2206.69,1917.23
03/2000,,,,,593.47,644.39
12/2000,,,,,2381.6,2140.37
03/2001,,,,,640.86,600.94
06/2001,,,,,1063.03,1103.17
09/2001,,,,,1641.21,1608.68
12/2001,,,,,2534.71,2284.62
03/2002,,,,,682.15,623.11
06/2002,,,,,1122.6,1162.9
09/2002,,,,,1721.36,1703
12/2002,,,,,2712.95,2437.72
03/2003,,,,,737.1,648.5
06/2003,,,,,1158.46,1194.18
09/2003,,,,,1801.5,1773.03
12/2003,,,,,2929.47186863,2537.42
03/2004,,,,,834.31,720.13
06/2004,,,,,1344.5,1347.6
09/2004,,,,,2109.5,2010.13
12/2004,,,,,3234.16,2862.54
03/2005,,,,,967,896.58
06/2005,,,,,1586.1,1663.88
09/2005,,,,,2449.9,2474.78
12/2005,,,,,3915.5,3567.31
03/2006,,,,,1093.95,978.88
06/2006,,,,,1797,1845.9
09/2006,,,,,2761.93,2728.18
12/2006,,,,,4301.93,3931.76
03/2007,5388.48,4922.66,4663.89,3282.43,1260.48,1072.15
06/2007,9632.92,8770.1,8419.76,6076.96,2110.63,2064
09/2007,14183.01,12881.05,12700.6,9367.39,3320.55,3076.35
12/2007,18847.03,17188.52,16994.76,12666.65,4958.4,4533.13226383
03/2008,5877.25,5431.1,4775.41,3628.96,1493.76,1254.25
06/2008,11047.87,10117.59,9392.07,7040.19,2528,2464.46
09/2008,16342.96,14907.19,14157.78,10712.44,3970.65,3640.48
12/2008,21808.13,19852.16,18885.27,14421.3,5736.99,5257.894052
03/2009,6557.57,5963.85,5593.24,3898.25,1622.27,1381.12
06/2009,12298.93,11085.3,11150.37,7625.62,2733.07,2630.99
09/2009,18117.8,16268.43,16902.96,11624.55,4306.5,3908.15
12/2009,23979.36,21502.08,22529.23,15604.02,6270.2,5694.82
03/2010,7355.12,6646.45,6236.04,4411.29,1814.26,1519.06
06/2010,13656.25,12256.98,11767.46,8447.1,3077.89,2892.73
09/2010,20119.84,18012.16,17339.07,12751.52,4868.9,4274.5
12/2010,26855.47,24014.61,23329.43,17294.91,7088.76,6307.42658023
03/2011,8219.89,7468.36,6701.03,4918.4,2187.3,1889.8
06/2011,15346.66,13831.68,12631.61,9384.76,3706.3,3687.7
09/2011,22711.59,20411.83,19074.81,14270.3,5875,5469.9
12/2011,30421.75,27318.64,25537.87,19283.18,8638.51,7984.94
03/2012,9259.1,8426.59,7225.85,5332.3,2559.5,2221.23
06/2012,,,,,4303.47,4283.41
09/2012,,,,,6778.16,6212.83
12/2012,,,,,9787.19,8961.85
03/2013,,,,,2870.8,2213.7
06/2013,,,,,4817.5,4350.9
09/2013,,,,,7627,6611.1
12/2013,,,,,10982.7,9453.6
03/2014,,,,,3224,
06/2014,,,,,5396,
09/2014,,,,,8527,
