year,计算机行业：总资产,计算机行业：制成品：年初至今,计算机行业：总负债,计算机行业：销售收入：年初至今,计算机行业：雇员人数,计算机行业：总利润：年初至今
区域,中国,中国,中国,中国,中国,中国
次国家,,,,,,
频率,月,月,月,月,月,月
单位,百万人民币,百万人民币,百万人民币,百万人民币,千人,百万人民币
数据来源,工业和信息化部,工业和信息化部,工业和信息化部,工业和信息化部,工业和信息化部,工业和信息化部
状态,继续,继续,继续,继续,继续,继续
数列ID,64712301 (CRFAHNX),64712001 (CRFAHNU),64712401 (CRFAHNY),64712501 (CRFAHNZ),64713401 (CRFAHOI),64713201 (CRFAHOG)
SR码,SR939270,SR103431,SR939279,SR940093,SR943514,SR942683
Trade Code,,,,,,
助记符,,,,,,
函数说明,,,,,,
首次观测日期,01/2003,01/2003,01/2003,01/2003,01/2003,01/2003
最后观测日期,12/2018,12/2018,12/2018,12/2018,12/2018,12/2018
最后更新时间,24/08/2020,24/08/2020,24/08/2020,24/08/2020,24/08/2020,24/08/2020
数列备注,,,,,,
您可以,,,,,,
平均,504334.7353066667,23273.5417081462,354200.6664533336,808953.5979536932,999.3928055555555,19246.101323748117
方差,59329110528.54839,86567355.81971644,25240353676.823326,385189865522.2386,116136.22438877854,340880808.4968123
标准差,243575.67721048914,9304.157985530794,158872.1299562114,620636.661439073,340.7876529288855,18462.95773966924
偏度,1.4952190070581792,1.413522163472979,1.2975187309612517,0.8809741843997052,0.437025069254268,1.5115195262811072
峰度,2.2948811445721637,2.4570659983545733,1.8815211386860047,-0.281159406774651,-0.5014686552661249,1.6731720915519204
变异系数,0.48296430953220004,0.3997740482392567,0.448537072352299,0.7672092231359356,0.34099470301814316,0.959308975313741
最小,204462.76,10037.39,135796.23,65045.67,520.132,1280.85
最大,1382800,58300,919100,2322197.19,1900.287,78913.87
中位数,466129.08,21738.84,335306.59,635935.287,999.523,12959.64
参照期间,75,66,75,110,72,101
01/2003,204462.76,10037.39,135796.23,65045.67,566.226,1808.68
02/2003,204462.76,10037.39,135796.23,65045.67,566.226,1808.68
03/2003,214288.56,,143102.93,102037.4,520.132,2801.79
04/2003,224286.41,10771.19,152203.85,143268.32,546.227,3889.88
