year,CN: E-commerce: Business Turnover: ytd,CN: E-commerce: Business Turnover: ytd: Business to Business,CN: E-commerce: Business Turnover: ytd: Retail Sales,CN: E-commerce: Business Turnover: ytd: Group Sales
Region,China,China,China,China
Subnational,,,,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,RMB BN,RMB BN,RMB BN,RMB BN
Source,China e-business Research Center,China e-business Research Center,China e-business Research Center,China e-business Research Center
Status,Active,Active,Active,Active
Series ID,326372001 (CTTADA),326372101 (CTTADB),326372201 (CTTADC),326372301 (CTTADD)
SR Code,SR6129833,SR6129082,SR6129071,SR6129077
Trade Code,,,,
Mnemonic,,,,
Function Description,,,,
First Obs. Date,12/2008,12/2007,12/2007,12/2010
Last Obs. Date,12/2022,06/2018,06/2020,06/2014
Last Update Time,04/05/2023,14/09/2018,28/04/2021,13/10/2014
Series remarks,,,,
Suggestions,,,,
Mean,14490.665384615384,6384.583333333333,2371.869037037037,20.62272727272727
Variance,198049246.5511539,25560921.557971023,7792889.579825039,222.81615301818178
Standard Deviation,14072.997070672398,5055.781003759065,2791.5747491022053,14.927027601574997
Skewness,1.1517166206810354,1.4133590907080325,1.534794364706333,0.943014461880012
Kurtosis,-0.010339068857915024,1.5802348514982083,1.7074280862480746,0.9435584326335427
Coefficient Variation,0.9711767332377697,0.791873289109297,1.1769514697107684,0.7238144307574387
Min,1630,1050,52,2.5
Max,47567.3,20500,10320,53.289
Median,7740,4575,1085.6,21.632
No. of Obs,26,24,27,11
12/2007,,2200,52,
12/2008,3150,2800,130,
12/2009,3700,3280,260,
06/2010,2250,2050,200,
12/2010,4500,3800,514.1,2.5
03/2011,,1050,163.6,
06/2011,2950,2600,344.8,6.54
09/2011,4430,3500,559.8,
12/2011,6000,4900,801.9,21.632
03/2012,1630,1300,233.6,6.63
06/2012,3500,2950,511.9,14.65
09/2012,5550,4650,806.2,23.263
12/2012,7850,6250,1235,34.885
03/2013,,,,10.313
06/2013,4350,3400,754.2,23.898
12/2013,10200,8200,1885.1,53.289
06/2014,5850,4500,1085.6,29.25
12/2014,13400,10000,2821.1,
06/2015,7630,5800,1614,
12/2015,18300,13900,3828.5,
06/2016,10500,7900,2314.194,
12/2016,22970,16700,5328.8,
06/2017,13350,9800,3100,
12/2017,28660,20500,7175.07,
06/2018,,11200,4081,
12/2018,32550,,8560,
12/2019,35630,,10320,
06/2020,,,5360,
12/2020,38160,,,
12/2021,42130,,,
12/2022,47567.3,,,
