year,CN: E-commerce: Business Turnover: ytd,CN: E-commerce: Business Turnover: ytd: Business to Business,CN: E-commerce: Business Turnover: ytd: Retail Sales,CN: E-commerce: Business Turnover: ytd: Group Sales
2007,,2200.0,52.0,
2008,3150.0,2800.0,130.0,
2009,3700.0,3280.0,260.0,
2010,4500.0,3800.0,514.1,2.5
2011,6000.0,4900.0,801.9,21.632
2012,7850.0,6250.0,1235.0,34.885
2013,10200.0,8200.0,1885.1,53.289
2014,13400.0,10000.0,2821.1,29.25
2015,18300.0,13900.0,3828.5,
2016,22970.0,16700.0,5328.8,
2017,28660.0,20500.0,7175.07,
2018,32550.0,11200.0,8560.0,
2019,35630.0,,10320.0,
2020,38160.0,,5360.0,
2021,42130.0,,,
2022,47567.3,,,
