year,CN: Research & Development: Expenditure,CN: R & D: Expenditure: R & D Institution,CN: R & D: Expenditure: Higher Education Institution,CN: R & D: Expenditure: Basic Research,CN: R & D: Expenditure: Applied Research,CN: R & D: Expenditure: Experimental Development
Region,China,China,China,China,China,China
Subnational,,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,RMB MN,RMB MN,RMB MN,RMB MN,RMB MN,RMB MN
Source,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics
Status,Active,Active,Active,Active,Active,Active
Series ID,133314501 (COCDGB),133846901 (COCDGM),133847201 (COCDGP),133845901 (COCDGC),133846001 (COCDGD),133846101 (COCDGE)
SR Code,SR1607087,SR1607057,SR1607115,SR1607278,SR1607299,SR1607114
Trade Code,,,,,,
Mnemonic,,,,,,
Function Description,,,,,,
First Obs. Date,1991,1995,1995,1995,1995,1995
Last Obs. Date,2022,2021,2021,2022,2021,2021
Last Update Time,20/01/2023,14/02/2023,14/02/2023,14/02/2023,14/02/2023,14/02/2023
Series remarks,,,,,,
Suggestions,,,,,,
Mean,791050.19775625,125206.39965185187,63368.39357629629,50147.0840158,96105.97597547557,678898.5539407405
Variance,837875347819.4362,12076928045.176973,3946505675.82913,3248333088.132981,7964490332.808161,490878836692.59204
Standard Deviation,915355.3123347437,109895.07743833194,62821.219948590064,56994.14959566447,89243.99325897604,700627.4592767486
Skewness,1.1352319029003692,0.8579623429347356,1.0774840381359743,1.306296536436087,1.0385516976872355,0.9060155271053454
Kurtosis,0.1928746088520943,-0.448849321083304,0.23388729097666294,0.7680247500742441,0.13737520739968145,-0.3710515778916821
Coefficient Variation,1.1571393508668288,0.8777113449784156,0.9913651964832054,1.136539655580116,0.9285998331857056,1.032006115213945
Min,15080,14642.6816,4230,1806,9202,23860
Max,3087000,371793.36,218049.34,195100,314537.07,2299587.7
Median,335666.82999999996,81130,39020,24555.285,57516,382004
No. of Obs,32,27,27,28,27,27
1991,15080,,,,,
1992,20980,,,,,
1993,25620,,,,,
1994,30980,,,,,
1995,34869,14642.6816,4230,1806,9202,23860
1996,40448,17288.352,4780,2024,9912,28512
1997,50916,20644.335,5770,2744,13246,34926
1998,55112,23425,5730,2895,12462,39754
1999,67891,26047.22,6350,3390,15155,49346
2000,89566,25797.55,7670,4673,15190,69703
2001,104249,28847,10240,5560,18485,80203
2002,128764,35133.36,13050,7377,24668,96720
2003,153963.4632,39899.36,16231.09324,8765.235197,31144.94385,114051.6054
2004,196633,43172.7,20093.916,11717.59748,40048.51273,144867
2005,244997.306,51309.97,24230,13120.6527654,43352.98975784,188523.66
2006,300309.66,56726.09,27681.13,15575.58,48897.44,235836.63
2007,371024,68790,31470,17452,49294,304278
2008,461602,81130,39020,22082,57516,382004
2009,580210.682,99594.811,46817.49,27028.57,73079.148,480102.944
2010,706257.745,118640.31,59729.844,32449.233,89378.851,584429.662
2011,868700.926,130670.616,68885.105,41181.425,102838.993,724680.508
2012,1029840.896,154893.217,78055.579,49880.659,116197.203,863763.025
2013,1184659.795,178139.72,85671.396,55495.124,126911.514,1002253.157
2014,1301562.968,192617.792,89814.508,61354.285,139852.82,1100355.864
2015,1416988.461,213648.649,99858.84432,71612.296,152864.198,1192513.143
2016,1567674.841,226017.613,107224.01,82289.193,161049.493,1324336.155
2017,1760612.949,243569.804,126596.111,97548.934,184920.945,1478143.07
2018,1967792.937,269168.239,145788.202,109037.094,219087.281,1639668.562
2019,2214357.739,308082.958,179661.652,133557.114,249846.071,1830954.553
2020,2439311.23,340882.083,188248.406,146699.63,275723.878,2016887.718
2021,2795630.73,371793.36,218049.34,181702.73,314537.07,2299587.7
2022,3087000,,,195100,,
