year,CN: Software: Sales Revenue: ytd,CN: Software: Total Profit: ytd
Region,China,China
Subnational,,
Frequency,Monthly,Monthly
Unit,RMB mn,RMB mn
Source,Ministry of Industry and Information Technology,Ministry of Industry and Information Technology
Status,Active,Active
Series ID,315922301 (CRFAKAA),412088707 (CRFAKSR)
SR Code,SR5134238,SR126033837
Trade Code,,
Mnemonic,,
Function Description,,
First Obs. Date,04/2007,08/2008
Last Obs. Date,06/2023,06/2023
Last Update Time,25/07/2023,25/07/2023
Series remarks,,
Suggestions,,
Mean,2557297.4569680225,405321.4454385965
Variance,5052180443862.422,82231106368.70512
Standard Deviation,2247705.5954600507,286759.66656541
Skewness,1.2851688450359617,0.9701393330923014
Kurtosis,1.2926713845438855,0.39790603898866284
Coefficient Variation,0.8789378761299714,0.7074870323111294
Min,126075.65,31100
Max,10812600,1264800
Median,1893927.1247999999,343450
No. of Obs,172,114
04/2007,143521.092,
05/2007,184596.441,
07/2007,299393.37,
10/2007,443618.57,
11/2007,496837.94,
12/2007,580010,
03/2008,144359.51,
05/2008,250433.64,
08/2008,488052.69,46660
09/2008,576468.05,
10/2008,642971.81,
11/2008,697729.43,63200
12/2008,757287.73,
02/2009,126075.65,
03/2009,190586.52,
04/2009,255224.27,
05/2009,329139.95,33200
06/2009,427017.36,
07/2009,513912.15,
08/2009,589100.14,
09/2009,677491.93,
10/2009,769124.86,
11/2009,870161,
12/2009,951302.92,
02/2010,159479.35,
03/2010,257273.29,
04/2010,362579.74,
05/2010,465165.58,
06/2010,604839.21,
07/2010,723140.46,
08/2010,828573.47,
09/2010,968214.94,
10/2010,1090218.24,
11/2010,1208075.3,
12/2010,1358855.0963,
02/2011,216685.76,
03/2011,345442.61,
04/2011,482173.33,
05/2011,623710.81,
06/2011,806535.62,
07/2011,958787,
08/2011,1111963.32,
09/2011,1300228.05,157800
10/2011,1497040.86,
11/2011,1657714.32,
12/2011,1884899.0596,
02/2012,285932.09,31100
03/2012,466478.37,53900
04/2012,652041.46,
05/2012,860808.97,
06/2012,1098800.12,117000
07/2012,1303705.95,
08/2012,1517700,
09/2012,1753068.26,194900
10/2012,1955074.47,
11/2012,2192755.29,
12/2012,2479375.2352,
02/2013,402263.13,43700
03/2013,618861.4,69500
04/2013,858917.76,90600
05/2013,1103372.28,116800
06/2013,1391247.81,141300
07/2013,1660716.5,179800
08/2013,1941752.8,212600
09/2013,2283504.58,260400
10/2013,2530348.75,280300
11/2013,2839322.08,
12/2013,3058747.431,383100
02/2014,466664.15,48200
03/2014,742565.35,83000
04/2014,1028652.76,113200
05/2014,1325431.89,
06/2014,1692889.94,188100
07/2014,1999082.35,228700
08/2014,2324751.46,263200
09/2014,2681534.27,301300
10/2014,2985273.49,342300
11/2014,3299491.22,384100
12/2014,3702641.9734,
02/2015,546876.15,
03/2015,880000,
04/2015,1214563.76,134100
05/2015,1587984.13,172800
06/2015,2021741.82,219300
07/2015,2359463.22,261800
08/2015,2708443.32,295100
09/2015,3112720.34,344600
10/2015,3473190.78,388900
11/2015,3821670.28,442200
12/2015,4284791.59,576600
02/2016,620606.03,
03/2016,1013122.95,
04/2016,1375511.53,
05/2016,1797566.7,
06/2016,2253694.24,273700
07/2016,2662189.74,316200
08/2016,3052594.25,361300
09/2016,3511248.17,420900
10/2016,3907303.72,464600
11/2016,4313289.98,525400
12/2016,4823222.35,602100
02/2017,692534.16,77800
03/2017,1138311.57,131900
04/2017,1575289.18,185800
05/2017,2030676.62,237800
06/2017,2558381.18,303900
07/2017,2991394.18,352100
08/2017,3460150.82,407700
09/2017,3982737.32,473100
10/2017,4420905.23,531400
11/2017,4902032.32,600800
12/2017,5510311.87,875500
02/2018,819600,89300
03/2018,1309888.2,157600
04/2018,1818884.84,219600
05/2018,2332848.41,282200
06/2018,2911752.87,358100
07/2018,3445659.5,426200
08/2018,3945316.55,492400
09/2018,4498978.25,568900
10/2018,5050713.72,636100
11/2018,5609241.13,708700
12/2018,6190873.38,896159.17
02/2019,907441.13,103200
03/2019,1475492.06,193000
04/2019,2050407.17,250270
05/2019,2629830.23,322752.6
06/2019,3283575.78,408777.94
07/2019,3856613.81,476909.64
08/2019,4486526.4,554188.81
09/2019,5189568.48,651822.72
10/2019,5792911.56,734235.73
11/2019,6461591.88,826036.21
12/2019,7207186.65,983510
02/2020,800763.16,98133.11
03/2020,1408749.9,166727.24
04/2020,2082957.33,239753.68
05/2020,2799898.76,321887.53
06/2020,3560930.7,424132.28
07/2020,4244829.05,512071.22
08/2020,4998365.65,601953.26
09/2020,5838712.77,706623.6
10/2020,6554162.11,802580.97
11/2020,7314162.6,900881.79
12/2020,8158591.02,1162151.91
02/2021,1006259.61,126038.59
03/2021,1902955.19,237082.43
04/2021,2571857.68,288469.46
05/2021,3389275.01,383552.97
06/2021,4419795.27,499884.94
07/2021,5144135.23,583805.04
08/2021,5971004.83,666626.36
09/2021,6900728.96,793706.73
10/2021,7681443.46,921790.1
11/2021,8537127.11,1015271
12/2021,9550198.81,1168597.75
02/2022,1179189.17,133200
03/2022,2005966.55,203100
04/2022,2773531.3,278500
05/2022,3618389.9,374700
06/2022,4626628.8,489100
07/2022,5456040.95,569800
08/2022,6436825.99,695200
09/2022,7476345.07,793000
10/2022,8421374.35,1004700
11/2022,9467172.52,1114000
12/2022,10812600,1264800
02/2023,1446110.17,176900
03/2023,2441486.72,266000
04/2023,3316619.19,367400
05/2023,4323815.48,492200
06/2023,5516954.7,617000
