year,货运吞吐量：主要海港和河港
区域,中国
次国家,
频率,月
单位,百万吨
数据来源,交通运输部
状态,继续
数列ID,12310601 (CTAEPI)
SR码,SR90422607
Trade Code,
助记符,
函数说明,
首次观测日期,01/2001
最后观测日期,09/2022
最后更新时间,26/10/2022
数列备注,[COVID-19-IMPACT]
您可以,
平均,721.6857484071147
方差,139609.14581256078
标准差,373.64307274799137
偏度,0.019364052143189675
峰度,-1.2732779830076832
变异系数,0.5177365266983396
最小,123.67
最大,1384.85
中位数,767.26
参照期间,253
01/2001,127.74
02/2001,123.67
03/2001,153.61
04/2001,154.69
05/2001,157.12
06/2001,156.08
07/2001,159.65
08/2001,164.98
09/2001,158.53
10/2001,160.74
11/2001,159.94
01/2002,155.45
02/2002,145.92
03/2002,174.53
04/2002,180.12
05/2002,185.26
06/2002,186.02
07/2002,190.17
08/2002,190.22
09/2002,190.35
10/2002,191.04
11/2002,192.34
01/2003,194.49
02/2003,172.84
03/2003,204.73
04/2003,209.57
05/2003,209.39
06/2003,215.63
07/2003,222.57
08/2003,225.81
09/2003,230.84
10/2003,229.56
11/2003,226.16
12/2003,279.03
01/2004,231.09
02/2004,239.19
03/2004,259.29
04/2004,264.8
05/2004,269.08
06/2004,270.83
07/2004,271.03
08/2004,279.4
09/2004,290.07
10/2004,294
11/2004,295.04
12/2004,300.35
01/2005,304.09
02/2005,262.96
03/2005,303.57
04/2005,320.12
05/2005,325.47
06/2005,323.1
07/2005,324.89
08/2005,330.81
09/2005,339.07
10/2005,344.35
11/2005,344.62
12/2005,365.15
01/2006,339.63
02/2006,316.59
03/2006,364.85
04/2006,375.73
05/2006,380.7
06/2006,380.34
07/2006,372.48
08/2006,386.24
09/2006,391.57
10/2006,394.46
11/2006,393.41
12/2006,420.08
01/2007,413.91
02/2007,379.11
03/2007,401.82
04/2007,432.77
05/2007,445.27
06/2007,447.26
07/2007,440.07
08/2007,446.53
09/2007,451.3
10/2007,440.21
11/2007,451.27
12/2007,468
01/2008,473.43
02/2008,425.37
03/2008,494.08
04/2008,502.19
05/2008,511.09
06/2008,509.02
07/2008,504.6
08/2008,507.13
09/2008,491.73
10/2008,484.89
11/2008,455.63
12/2008,510.84
01/2009,449.96
02/2009,411.81
03/2009,500.5
04/2009,559.7
05/2009,593.63
06/2009,597.88
07/2009,605.5
08/2009,605.82
09/2009,609.82
10/2009,598.7
11/2009,589.64
12/2009,637.67
01/2010,636.76
02/2010,546.59
03/2010,621.04
04/2010,656.26
05/2010,683.91
06/2010,694.79
07/2010,665.48
08/2010,680.01
09/2010,666.48
10/2010,675.12
11/2010,706.28
12/2010,753.8
01/2011,735.83
02/2011,619.7
03/2011,727.42
04/2011,753.89
05/2011,777.3
06/2011,754.5
07/2011,768.68
08/2011,768.86
09/2011,771.65
10/2011,777.24
11/2011,767.26
12/2011,793.48
01/2012,737.33
02/2012,715.12
03/2012,789.12
04/2012,819.39
05/2012,838.79
06/2012,809.19
07/2012,806.42
08/2012,792.04
09/2012,837.49
10/2012,854.03
11/2012,845.98
12/2012,865.4
01/2013,861.98
02/2013,736.21
03/2013,870.79
04/2013,888.82
05/2013,911.73
06/2013,893.99
07/2013,901.27
08/2013,900.09
09/2013,898.61
10/2013,895.26
11/2013,889.57
01/2014,914.26
02/2014,775.43
03/2014,929.15
04/2014,948.37
05/2014,933.29
06/2014,944.62
07/2014,928.15
08/2014,954.25
09/2014,931.24
10/2014,944.74
11/2014,951.73
01/2015,970.59
02/2015,805.91
03/2015,920.85
04/2015,955.87
05/2015,978.83
06/2015,987.47
07/2015,968.48
08/2015,972.7
09/2015,955.09
10/2015,946
11/2015,946.25
01/2016,969.16
02/2016,829.13
03/2016,958.62
04/2016,990.64
05/2016,1005.84
06/2016,998.76
07/2016,971.18
08/2016,1000.25
09/2016,984.92
10/2016,1008.48
11/2016,1017.06
01/2017,1010.46
02/2017,912.54
03/2017,1047.02
04/2017,1066.59
05/2017,1077.67
06/2017,1069.76
07/2017,1071.54
08/2017,1068.52
09/2017,1052.02
10/2017,1058.86
11/2017,1053.16
01/2018,1083.03
02/2018,941.28
03/2018,1048.21
04/2018,1094.38
05/2018,1140.26
06/2018,1138.81
07/2018,1116.42
08/2018,1125.47
09/2018,1125.22
10/2018,1125.51
11/2018,1105.49
01/2019,1141.298883
02/2019,886.489289
03/2019,1125.039467
04/2019,1145.421405
05/2019,1201.904009
06/2019,1212.855351
07/2019,1183.656198
08/2019,1199.411438
09/2019,1204.983049
10/2019,1209.60739
11/2019,1206.410678
12/2019,1233.754571
01/2020,1102.33
02/2020,806.461
03/2020,1098.4789
04/2020,1192.727221
05/2020,1255.161178
06/2020,1296.97432
07/2020,1254.77
08/2020,1286.11
09/2020,1312.6
10/2020,1328.19
11/2020,1315.07
12/2020,1301.03
01/2021,1293.72
02/2021,1003.46
03/2021,1276.81
04/2021,1323.29
05/2021,1384.85
06/2021,1361.22
07/2021,1267.71
08/2021,1349.25
09/2021,1288.07
10/2021,1321.37
11/2021,1337.85
12/2021,1337.75
01/2022,1301.12
02/2022,1056.95
03/2022,1272.83
04/2022,1274.11
05/2022,1346.04
06/2022,1329.74
07/2022,1340.02
08/2022,1324.73
09/2022,1309
